Total for 41 profs:
Year,2022,2023,2024,2025,2026
students, 416.000, 536.000, 510.000, 581.000, 628.000
gpu_years, 2276.937, 3786.809, 4334.084, 6363.856, 8779.980
gpu_mem_mean, 9.576, 12.521, 12.863, 15.518, 17.985
gpu_mem_max, 34.628, 35.417, 63.718, 78.668, 106.713
gpu_util_mean, 0.375, 0.380, 0.384, 0.390, 0.394
gpu_cpu_years, 2944.871, 3720.146, 2380.462, 2397.126, 2155.204
gpu_cpu_mem_mean, 7.066, 7.598, 7.955, 8.478, 8.996
gpu_cpu_mem_max, 60.521, 179.143, 205.369, 443.108, 816.251
cpu_years, 1133.485, 1827.074, 979.220, 1093.491, 1016.359
cpu_mem_mean, 6.495, 6.101, 8.253, 8.754, 9.867
cpu_mem_max, 3787.000, 343.027, 1869.316, 663.473, 466.140
