load job series: 100%|██████████████████████████████| 6832469/6832469 [35:01<00:00, 3251.92it/s]
[06/02/25 13:33:59] WARNING  'user.mila.email' is missing in 324236 jobs  compute_forecast.py:1112
                             (5.52%) from 63 users.                                               
Total for 41 profs:
Year,2022,2023,2024,2025,2026
students, 353.000, 456.000, 444.000, 509.000, 554.000
gpu_years, 1905.473, 3297.781, 3466.667, 4451.168, 5231.765
gpu_mem_mean, 295.952, 396.645, 426.419, 503.471, 568.704
gpu_mem_max, 609.155, 688.516, 1116.620, 1312.228, 1565.961
gpu_util_mean, 11.746, 11.947, 12.560, 12.898, 13.304
gpu_cpu_years, 3317.183, 4449.670, 3263.005, 3622.442, 3595.353
gpu_cpu_mem_mean, 295.952, 396.645, 426.419, 503.471, 568.704
gpu_cpu_mem_max, 3039.006, 7979.706, 12798.556, 17698.639, 22578.414
cpu_years, 742.132, 1633.320, 903.124, 1253.851, 1334.346
cpu_mem_mean, 208.012, 195.505, 287.282, 309.536, 349.171
cpu_mem_max, 6960.273, 3312.119, 7093.448, 5921.788, 5988.375
